Rating,Company Name,Size,Type of ownership,Industry,Sector,Revenue,weight,Job Category,Merged Experience Category,num_comp,avg_salary,job_state,age,python_yn,sql_yn,excel_yn,tableau_yn,power bi_yn,sas_yn,hadoop_yn,spark_yn,tensorflow_yn,keras_yn,pytorch_yn,scikit-learn_yn,matplotlib_yn,snowflake_yn,numpy_yn,pandas_yn,scipy_yn,bigquery_yn,aws_yn,azure_yn,google cloud_yn,airflow_yn,git_yn,docker_yn,kubernetes_yn,r_yn,Description_len
3.8,Tecolote Research,501 to 1000 employees,Company - Private,Manufacturing & Engineering,Manufacturing & Engineering,$50 to $100 million (USD),1,data scientist,Some Experience,0,72.0,NM,52,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2536
3.4,University of Maryland Medical System,10000+ employees,other,Health & Pharmaceuticals,Health & Pharmaceuticals,$2 to $5 billion (USD),1,data scientist,Junior,0,87.5,MD,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4783
4.8,KnowBe4,501 to 1000 employees,Company - Private,Government & Public Services,Professional Services,$100 to $500 million (USD),2,data scientist,Senior,0,85.0,FL,15,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3461
3.8,PNNL,1001 to 5000 employees,Government,Energy & Utilities,Energy & Utilities,$500 million to $1 billion (USD),2,data scientist,Entry Level,3,76.5,WA,60,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3883
2.9,Affinity Solutions,51 to 200 employees,Company - Private,Media & Entertainment,Professional Services,Unknown / Non-Applicable,1,data scientist,Unknown,3,114.5,NY,27,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2728
3.4,CyrusOne,201 to 500 employees,Company - Public,Other,Other,$1 to $2 billion (USD),2,data scientist,Strong Experience,3,95.0,TX,25,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,3747
4.1,ClearOne Advantage,501 to 1000 employees,Company - Private,Finance & Insurance,Finance & Insurance,Unknown / Non-Applicable,2,data scientist,Unknown,0,73.5,MD,17,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1786
3.8,Logic20/20,201 to 500 employees,Company - Private,Professional Services,Professional Services,$25 to $50 million (USD),2,data scientist,General Experience,0,114.0,CA,20,1,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3804
3.3,Rochester Regional Health,10000+ employees,Hospital,Health & Pharmaceuticals,Health & Pharmaceuticals,$500 million to $1 billion (USD),1,scientist,Some Experience,0,61.0,NY,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1538
4.6,<intent>,51 to 200 employees,Company - Private,Technology,Technology,$100 to $500 million (USD),2,data scientist,General Experience,2,140.0,NY,16,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4574
3.5,Wish,501 to 1000 employees,Company - Private,Retail & Consumer Services,Retail,$1 to $2 billion (USD),1,data scientist,Unknown,0,163.5,CA,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2757
4.1,ManTech,5001 to 10000 employees,Company - Public,Professional Services,Professional Services,$1 to $2 billion (USD),2,data scientist,General Experience,0,85.0,VA,57,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3490
3.2,Walmart,10000+ employees,Company - Public,Retail & Consumer Services,Retail,$10+ billion (USD),2,data scientist,Unknown,3,139.0,TX,63,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3934
4.1,Yesler,201 to 500 employees,Company - Private,Media & Entertainment,Professional Services,Unknown / Non-Applicable,1,data analyst,Junior,0,65.5,WA,13,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,4897
3.7,Takeda Pharmaceuticals,10000+ employees,Company - Public,Health & Pharmaceuticals,Health & Pharmaceuticals,$10+ billion (USD),2,data scientist,General Experience,3,113.5,MA,244,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3731
3.6,Audible,1001 to 5000 employees,Subsidiary or Business Segment,Media & Entertainment,Other,Unknown / Non-Applicable,1,data engineer,Unknown,0,146.0,NJ,30,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1889
3.9,Blueprint Medicines,51 to 200 employees,Company - Public,Health & Pharmaceuticals,Health & Pharmaceuticals,$1 to $5 million (USD),1,scientist,General Experience,3,102.0,MA,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3639
4.3,h2o.ai,201 to 500 employees,Company - Private,Technology,Technology,Unknown / Non-Applicable,2,data scientist,General Experience,0,153.5,CA,14,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,4163
4.2,Nuna,51 to 200 employees,Company - Private,Technology,Technology,Unknown / Non-Applicable,2,data scientist,Junior,0,142.5,CA,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3512
4.0,Pinnacol Assurance,501 to 1000 employees,Nonprofit Organization,Finance & Insurance,Finance & Insurance,$500 million to $1 billion (USD),1,data scientist,General Experience,0,87.5,CO,110,1,1,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,4397
3.2,Porch,201 to 500 employees,Company - Private,Technology,Technology,Unknown / Non-Applicable,1,data scientist,General Experience,3,105.5,WA,13,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,2918
3.9,Health IQ,201 to 500 employees,Company - Private,Finance & Insurance,Finance & Insurance,Unknown / Non-Applicable,2,mle,Junior,0,96.0,TX,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6909
3.8,Truckstop.com,501 to 1000 employees,Company - Private,Transportation & Logistics,Other,Unknown / Non-Applicable,2,data scientist,Some Experience,0,112.5,IL,30,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,6408
4.3,SMC 3,51 to 200 employees,Nonprofit Organization,Transportation & Logistics,Other,$10 to $25 million (USD),2,data scientist,Entry Level,0,84.0,KY,90,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2907
4.0,Novetta,501 to 1000 employees,Company - Private,Technology,Technology,$100 to $500 million (USD),2,data scientist,General Experience,3,143.0,VA,13,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3760
4.0,Pfizer,10000+ employees,Company - Public,Health & Pharmaceuticals,Health & Pharmaceuticals,$10+ billion (USD),2,data scientist,Entry Level,0,86.5,MA,176,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,3698
